Time [s],Channel 1,Channel 2,Channel 4
6.075927625,1,1,0
6.076179875,1,1,1
6.076180125,1,1,0
6.076180500,1,1,1
6.076180750,1,1,0
6.076181250,1,1,1
6.076181500,1,1,0
6.076181875,1,1,1
6.076182125,1,1,0
6.076182875,1,1,1
6.076183125,1,1,0
6.076183625,1,1,1
6.076183875,1,1,0
6.076184375,1,1,1
6.076184625,1,1,0
6.076185000,0,1,1
6.076185250,0,1,0
6.076186500,0,1,1
6.076186750,0,1,0
6.076187125,0,1,1
6.076187375,0,1,0
6.076187875,0,1,1
6.076188125,0,1,0
6.076188625,0,1,1
6.076188875,0,1,0
6.076189625,0,1,1
6.076189875,0,1,0
6.076190250,0,1,1
6.076190500,1,1,0
6.076191000,1,1,1
6.076191250,1,1,0
6.076191625,1,1,1
6.076191875,0,1,0
6.076312375,1,1,0
6.086958875,1,1,1
6.086959125,1,1,0
6.086959500,1,1,1
6.086959750,1,1,0
6.086960250,1,1,1
6.086960500,1,1,0
6.086960875,1,1,1
6.086961125,1,1,0
6.086961875,1,1,1
6.086962125,1,1,0
6.086962625,1,1,1
6.086962875,1,1,0
6.086963375,1,1,1
6.086963625,1,1,0
6.086964000,0,1,1
6.086964250,0,1,0
6.086965500,0,1,1
6.086965750,0,1,0
6.086966125,0,1,1
6.086966375,0,1,0
6.086966875,0,1,1
6.086967125,0,1,0
6.086967625,0,1,1
6.086967875,0,1,0
6.086968625,0,1,1
6.086968875,0,1,0
6.086969250,0,1,1
6.086969500,1,1,0
6.086970000,1,1,1
6.086970250,1,1,0
6.086970625,1,1,1
6.086970875,0,1,0
6.087055750,1,1,0
6.097683375,1,1,1
6.097683625,1,1,0
6.097684125,1,1,1
6.097684375,1,1,0
6.097684875,1,1,1
6.097685125,1,1,0
6.097685500,1,1,1
6.097685750,1,1,0
6.097686500,1,1,1
6.097686750,1,1,0
6.097687125,1,1,1
6.097687375,1,1,0
6.097687875,1,1,1
6.097688125,1,1,0
6.097688625,0,1,1
6.097688875,0,1,0
6.097690125,0,1,1
6.097690375,0,1,0
6.097690750,0,1,1
6.097691000,0,1,0
6.097691500,0,1,1
6.097691750,0,1,0
6.097692125,0,1,1
6.097692375,0,1,0
6.097693125,0,1,1
6.097693375,0,1,0
6.097693875,0,1,1
6.097694125,1,1,0
6.097694625,1,1,1
6.097694875,1,1,0
6.097695250,1,1,1
6.097695500,0,1,0
6.097790875,1,1,0
6.108358125,1,1,1
6.108358375,1,1,0
6.108358750,1,1,1
6.108359000,1,1,0
6.108359500,1,1,1
6.108359750,1,1,0
6.108360125,1,1,1
6.108360375,1,1,0
6.108361125,1,1,1
6.108361375,1,1,0
6.108361875,1,1,1
6.108362125,1,1,0
6.108362625,1,1,1
6.108362875,1,1,0
6.108363250,0,1,1
6.108363500,0,1,0
6.108364750,0,1,1
6.108365000,0,1,0
6.108365375,0,1,1
6.108365625,0,1,0
6.108366125,0,1,1
6.108366375,0,1,0
6.108366875,0,1,1
6.108367125,0,1,0
6.108367875,0,1,1
6.108368125,0,1,0
6.108368500,0,1,1
6.108368750,0,1,0
6.108369250,0,1,1
6.108369500,0,1,0
6.108369875,0,1,1
6.108370125,0,1,0
6.108507125,1,1,0
6.108920125,1,1,1
6.108920375,1,1,0
6.108920750,1,1,1
6.108921000,1,1,0
6.108921500,1,1,1
6.108921750,1,1,0
6.108922125,1,1,1
6.108922375,1,1,0
6.108923125,1,1,1
6.108923375,1,1,0
6.108923875,1,1,1
6.108924125,1,1,0
6.108924625,1,1,1
6.108924875,1,1,0
6.108925250,1,1,1
6.108925500,1,1,0
6.110667125,1,1,1
6.110667375,1,1,0
6.110667875,1,1,1
6.110668125,1,1,0
6.110668625,1,1,1
6.110668875,1,1,0
6.110669250,1,1,1
6.110669500,1,1,0
6.110670250,1,1,1
6.110670500,1,1,0
6.110670875,1,1,1
6.110671125,1,1,0
6.110671625,1,1,1
6.110671875,1,1,0
6.110672375,0,1,1
6.110672625,0,1,0
6.110673875,0,1,1
6.110674125,0,1,0
6.110674500,0,1,1
6.110674750,0,1,0
6.110675250,0,1,1
6.110675500,0,1,0
6.110675875,0,1,1
6.110676125,0,1,0
6.110676875,0,1,1
6.110677125,0,1,0
6.110677625,0,1,1
6.110677875,1,1,0
6.110678375,1,1,1
6.110678625,0,1,0
6.110679000,0,1,1
6.110679250,0,1,0
6.111103750,1,1,0
6.111402125,1,1,1
6.111402375,1,1,0
6.111402875,1,1,1
6.111403125,1,1,0
6.111403625,1,1,1
6.111403875,1,1,0
6.111404250,1,1,1
6.111404500,1,1,0
6.111405250,1,1,1
6.111405500,1,1,0
6.111405875,1,1,1
6.111406125,1,1,0
6.111406625,1,1,1
6.111406875,1,1,0
6.111407375,1,1,1
6.111407625,1,1,0
6.111408875,1,1,1
6.111409125,1,1,0
6.111409500,1,1,1
6.111409750,1,1,0
6.111410250,1,1,1
6.111410500,1,1,0
6.111410875,1,1,1
6.111411125,1,1,0
6.111411875,1,1,1
6.111412125,1,1,0
6.111412625,1,1,1
6.111412875,1,1,0
6.111413375,1,1,1
6.111413625,1,1,0
6.111414000,1,1,1
6.111414250,1,1,0
6.111415500,1,1,1
6.111415750,1,1,0
6.111416125,1,1,1
6.111416375,1,1,0
6.111416875,1,1,1
6.111417125,1,1,0
6.111417625,1,1,1
6.111417875,1,1,0
6.111418625,1,1,1
6.111418875,1,1,0
6.111419250,1,1,1
6.111419500,1,1,0
6.111420000,1,1,1
6.111420250,1,1,0
6.111420625,1,1,1
6.111420875,1,1,0
6.111422125,1,1,1
6.111422375,1,1,0
6.111422875,1,1,1
6.111423125,1,1,0
6.111423625,1,1,1
6.111423875,1,1,0
6.111424250,1,1,1
6.111424500,1,1,0
6.111425250,1,1,1
6.111425500,1,1,0
6.111425875,1,1,1
6.111426125,1,1,0
6.111426625,1,1,1
6.111426875,1,1,0
6.111427375,1,1,1
6.111427625,1,1,0
6.111428875,1,1,1
6.111429125,1,1,0
6.111429500,1,1,1
6.111429750,1,1,0
6.111430250,1,1,1
6.111430500,1,1,0
6.111430875,1,1,1
6.111431125,1,1,0
6.111431875,1,1,1
6.111432125,1,1,0
6.111432625,1,1,1
6.111432875,1,1,0
6.111433375,1,1,1
6.111433625,1,1,0
6.111434000,1,1,1
6.111434250,1,1,0
6.111435500,1,1,1
6.111435750,1,1,0
6.111436125,1,1,1
6.111436375,1,1,0
6.111436875,1,1,1
6.111437125,1,1,0
6.111437625,1,1,1
6.111437875,1,1,0
6.111438625,1,1,1
6.111438875,1,1,0
6.111439250,1,1,1
6.111439500,1,1,0
6.111440000,1,1,1
6.111440250,1,1,0
6.111440625,1,1,1
6.111440875,1,1,0
6.111442125,1,1,1
6.111442375,1,1,0
6.111442875,1,1,1
6.111443125,1,1,0
6.111443625,1,1,1
6.111443875,1,1,0
6.111444250,1,1,1
6.111444500,1,1,0
6.111445250,1,1,1
6.111445500,1,1,0
6.111445875,1,1,1
6.111446125,1,1,0
6.111446625,1,1,1
6.111446875,1,1,0
6.111447375,1,1,1
6.111447625,1,1,0
6.111448875,1,1,1
6.111449125,1,1,0
6.111449500,1,1,1
6.111449750,1,1,0
6.111450250,1,1,1
6.111450500,1,1,0
6.111450875,1,1,1
6.111451125,1,1,0
6.111451875,1,1,1
6.111452125,1,1,0
6.111452625,1,1,1
6.111452875,1,1,0
6.111453375,1,1,1
6.111453625,1,1,0
6.111454000,1,1,1
6.111454250,1,1,0
6.111455500,1,1,1
6.111455750,1,1,0
6.111456125,1,1,1
6.111456375,1,1,0
6.111456875,1,1,1
6.111457125,1,1,0
6.111457625,1,1,1
6.111457875,1,1,0
6.111458625,1,1,1
6.111458875,1,1,0
6.111459250,1,1,1
6.111459500,1,1,0
6.111460000,1,1,1
6.111460250,1,1,0
6.111460625,1,1,1
6.111460875,1,1,0
6.111462125,1,1,1
6.111462375,1,1,0
6.111462875,1,1,1
6.111463125,1,1,0
6.111463625,1,1,1
